#Q2	x	y	sigmar	total error	StatErr	Uncor	tot_noproc %
2.5000E-01	3.9800E-05	6.2069E-02	2.3582E-01	0.01084819164	3.3199E00	1.5430E00	4.60020E00
2.5000E-01	1.1000E-04	2.2458E-02	1.9913E-01	0.009782181598	3.9550E00	1.5002E00	4.91246E00
2.5000E-01	2.5100E-04	9.8421E-03	1.9590E-01	0.01014184095	3.7499E00	1.4444E00	5.17705E00
2.5000E-01	3.9400E-04	6.2699E-03	1.9415E-01	0.011086722185	4.1636E00	1.5004E00	5.71039E00
2.5000E-01	1.5800E-03	1.5635E-03	1.9752E-01	0.02457010536	1.1000E01	5.2859E00	1.24393E01
3.5000E-01	5.1200E-06	6.7549E-01	4.3583E-01	0.11147572574	2.2077E01	1.2786E01	2.55778E01
3.5000E-01	1.0000E-05	3.4585E-01	3.4497E-01	0.008802668484	1.6264E00	7.9714E-01	2.55172E00
3.5000E-01	1.2700E-05	2.7232E-01	3.2368E-01	0.00804053488	1.4375E00	7.9353E-01	2.48410E00
3.5000E-01	1.6500E-05	2.0961E-01	3.1298E-01	0.00727490712	1.2080E00	6.2695E-01	2.32440E00
3.5000E-01	3.2000E-05	1.0808E-01	2.9599E-01	0.008512139618	1.1432E00	7.1769E-01	2.87582E00
3.5000E-01	6.6200E-05	5.2243E-02	2.8211E-01	0.009803661032	2.6217E00	1.5002E00	3.47512E00
3.5000E-01	1.3000E-04	2.6604E-02	2.5726E-01	0.00844751799	2.5271E00	1.4266E00	3.28365E00
3.5000E-01	2.2000E-04	1.5720E-02	2.3996E-01	0.008788367028	2.6687E00	1.4999E00	3.66243E00
3.5000E-01	5.0000E-04	6.9170E-03	2.3980E-01	0.00817636468	2.5204E00	1.4168E00	3.40966E00
3.5000E-01	2.5100E-03	1.3779E-03	2.0125E-01	0.022318625	9.9963E00	4.5492E00	1.10900E01
4.0000E-01	1.3300E-05	2.9719E-01	3.5484E-01	0.01055950614	1.9743E00	8.8405E-01	2.97585E00
4.0000E-01	1.7000E-05	2.3250E-01	3.5361E-01	0.009326286945	1.6641E00	8.2866E-01	2.63745E00
4.0000E-01	2.2000E-05	1.7966E-01	3.3436E-01	0.008318809928	1.4547E00	7.8158E-01	2.48798E00
4.0000E-01	3.6800E-05	1.0741E-01	3.2952E-01	0.009632759304	1.2599E00	7.6996E-01	2.92327E00
4.0000E-01	8.8300E-05	4.4763E-02	3.1992E-01	0.011120867088	2.7166E00	1.5001E00	3.47614E00
4.0000E-01	1.7600E-04	2.2458E-02	2.8736E-01	0.010411225216	2.7861E00	1.4999E00	3.62306E00
4.0000E-01	2.9400E-04	1.3444E-02	2.7666E-01	0.009804083418	2.7459E00	1.5001E00	3.54373E00
4.0000E-01	6.3100E-04	6.2640E-03	2.6014E-01	0.0097318374	2.7379E00	1.4999E00	3.74100E00
5.0000E-01	7.3200E-06	6.7496E-01	4.2844E-01	0.038567354764	5.5499E00	5.7380E00	9.00181E00
5.0000E-01	1.5800E-05	3.1270E-01	4.2553E-01	0.019195530641	3.5327E00	1.4849E00	4.51097E00
5.0000E-01	2.1200E-05	2.3305E-01	3.8987E-01	0.011648107003	2.0629E00	8.0047E-01	2.98769E00
5.0000E-01	2.7600E-05	1.7901E-01	3.7692E-01	0.010321916508	1.7096E00	7.5965E-01	2.73849E00
5.0000E-01	3.9800E-05	1.2414E-01	3.6428E-01	0.011296650652	1.4847E00	8.1406E-01	3.10109E00
5.0000E-01	1.0000E-04	4.9407E-02	3.4846E-01	0.00961645062	1.7432E00	1.4498E00	2.75970E00
5.0000E-01	2.5100E-04	1.9684E-02	3.0780E-01	0.0087990786	1.8677E00	1.4294E00	2.85870E00
5.0000E-01	3.6800E-04	1.3426E-02	3.0043E-01	0.009098943152	2.0253E00	1.5002E00	3.02864E00
5.0000E-01	8.0000E-04	6.1759E-03	2.8667E-01	0.008341666995	2.0460E00	1.3814E00	2.90985E00
5.0000E-01	3.2000E-03	1.5440E-03	1.8222E-01	0.02389851744	1.1379E01	6.3896E00	1.31152E01
6.5000E-01	9.5200E-06	6.7468E-01	4.6436E-01	0.025927865652	4.0217E00	2.8995E00	5.58357E00
6.5000E-01	1.5800E-05	4.0651E-01	4.6249E-01	0.029824222638	3.0960E00	5.4385E00	6.44862E00
6.5000E-01	3.9800E-05	1.6138E-01	4.7214E-01	0.017382589524	2.7342E00	6.8407E-01	3.68166E00
6.5000E-01	5.9800E-05	1.0741E-01	4.1641E-01	0.015881169503	1.9938E00	7.4276E-01	3.81383E00
6.5000E-01	1.0000E-04	6.4229E-02	4.0885E-01	0.01336375287	2.0862E00	1.4693E00	3.26862E00
6.5000E-01	2.5100E-04	2.5589E-02	3.6100E-01	0.0110537839	2.1420E00	1.3896E00	3.06199E00
6.5000E-01	4.7800E-04	1.3437E-02	3.3222E-01	0.011127841788	2.2888E00	1.5000E00	3.34954E00
6.5000E-01	8.0000E-04	8.0287E-03	3.1814E-01	0.009584476524	2.1379E00	1.3466E00	3.01266E00
