#Q^2     x	       y 	    sigmar	toter
45	0.800E-03	0.624	1.493	0.0468802
45	0.800E-03	0.556	1.468	0.0280388
45	0.130E-02	0.384	1.317	0.0196233
45	0.130E-02	0.342	1.316	0.0178976
45	0.200E-02	0.222	1.163	0.0126767
45	0.320E-02	0.139	1.017	0.0110853
45	0.500E-02	0.089	0.903	0.0098427
45	0.800E-02	0.056	0.785	0.008635
45	0.130E-01	0.034	0.683	0.0082643
45	0.200E-01	0.022	0.604	0.0073688
45	0.320E-01	0.014	0.536	0.0086832
45	0.500E-01	0.009	0.488	0.0123464
60	0.130E-02	0.512	1.407	0.0265923
60	0.130E-02	0.456	1.394	0.024395
60	0.200E-02	0.296	1.255	0.014056
60	0.320E-02	0.185	1.088	0.0118592
60	0.500E-02	0.119	0.947	0.0105117
60	0.800E-02	0.074	0.824	0.0098056
60	0.130E-01	0.046	0.711	0.0091719
60	0.200E-01	0.03	0.635	0.0084455
60	0.320E-01	0.019	0.555	0.0078255
60	0.500E-01	0.012	0.511	0.0110376
60	0.130E+00	0.005	0.396	0.020988
70	0.130E-02	0.597	1.453	0.0342908
70	0.200E-02	0.388	1.274	0.0252252
70	0.320E-02	0.216	1.103	0.0208467
70	0.500E-02	0.138	0.999	0.0176823
70	0.800E-02	0.086	0.824	0.0151616
70	0.130E-01	0.053	0.72	0.016056
70	0.200E-01	0.035	0.64	0.013504
70	0.320E-01	0.022	0.564	0.0136488
70	0.500E-01	0.014	0.513	0.0113886
90	0.130E-02	0.684	1.446	0.0594306
90	0.200E-02	0.499	1.261	0.030264
90	0.200E-02	0.445	1.321	0.0235138
90	0.320E-02	0.278	1.176	0.0148176
90	0.500E-02	0.178	1.035	0.012627
90	0.800E-02	0.111	0.891	0.0113157
90	0.130E-01	0.068	0.759	0.0103983
90	0.200E-01	0.044	0.654	0.0092868
90	0.320E-01	0.028	0.561	0.0083028
90	0.500E-01	0.018	0.491	0.0084943
90	0.800E-01	0.011	0.439	0.0082532
90	0.180E+00	0.005	0.344	0.0175784
120	0.160E-02	0.741	1.401	0.0486147
120	0.200E-02	0.665	1.336	0.0391448
120	0.200E-02	0.593	1.313	0.0372892
120	0.320E-02	0.416	1.186	0.0276338
120	0.320E-02	0.371	1.212	0.0298152
120	0.500E-02	0.237	1.046	0.0161084
120	0.800E-02	0.148	0.91	0.012922
120	0.130E-01	0.091	0.78	0.011934
120	0.200E-01	0.059	0.671	0.0106689
120	0.320E-01	0.037	0.577	0.0096936
120	0.500E-01	0.024	0.489	0.0082152
120	0.800E-01	0.015	0.443	0.0086385
120	0.180E+00	0.007	0.333	0.0133533
150	0.200E-02	0.741	1.389	0.050004
150	0.320E-02	0.52	1.204	0.0293776
150	0.320E-02	0.463	1.201	0.0319466
150	0.500E-02	0.296	1.058	0.0166106
150	0.800E-02	0.185	0.915	0.0165615
150	0.130E-01	0.114	0.807	0.0189645
150	0.200E-01	0.074	0.693	0.0146223
150	0.320E-01	0.046	0.588	0.0135828
150	0.500E-01	0.03	0.512	0.0116224
150	0.800E-01	0.019	0.446	0.0100796
150	0.180E+00	0.008	0.325	0.012545
200	0.260E-02	0.76	1.286	0.0460388
200	0.320E-02	0.693	1.171	0.0553883
200	0.320E-02	0.618	1.221	0.0388278
200	0.500E-02	0.443	1.074	0.025239
200	0.500E-02	0.395	1.103	0.0183098
200	0.800E-02	0.247	0.934	0.0124222
200	0.130E-01	0.152	0.806	0.010478
200	0.200E-01	0.099	0.698	0.0105398
200	0.320E-01	0.062	0.586	0.0097862
200	0.500E-01	0.04	0.521	0.0084923
200	0.800E-01	0.025	0.431	0.0070253
200	0.130E+00	0.015	0.355	0.0159395
200	0.180E+00	0.011	0.331	0.00993
200	0.250E+00	0.008	0.273	0.017199
200	0.400E+00	0.005	0.139	0.0118011
250	0.330E-02	0.749	1.247	0.0485083
250	0.500E-02	0.554	1.079	0.0338806
250	0.500E-02	0.494	1.102	0.030856
250	0.800E-02	0.309	0.953	0.0141044
